topology,m,seed,status,wall_clock_s,column_count,oracle_calls,loewner_cut_count,iterations,objective,dual_bound,primal_dual_gap,relative_gap,min_contract_slack,pricing_violation,n_edges,max_degree,active_column_count,total_exposure
grid,50,2026,optimal,0.018294386999968992,9,9,9,9,1.3999999999999997,1.3999999999999997,0.0,0.0,-6.661338147750939e-16,-1.1102230246251565e-16,85,4,1,1.3999999999999997
grid,50,3407,optimal,0.017426520000299206,9,9,9,9,1.3999999999999997,1.3999999999999997,0.0,0.0,-6.661338147750939e-16,-1.1102230246251565e-16,85,4,1,1.3999999999999997
grid,50,9181,optimal,0.01697370800002318,9,9,9,9,1.3999999999999997,1.3999999999999997,0.0,0.0,-6.661338147750939e-16,-1.1102230246251565e-16,85,4,1,1.3999999999999997
grid,100,2026,optimal,0.1339949970001726,31,31,30,31,0.9799999999999977,0.9799999999999995,-1.887379141862766e-15,-1.887379141862766e-15,-7.105427357601002e-15,1.4432899320127035e-15,180,4,8,0.933333333333331
grid,100,3407,optimal,0.13480926099964563,31,31,30,31,0.9799999999999977,0.9799999999999995,-1.887379141862766e-15,-1.887379141862766e-15,-7.105427357601002e-15,1.4432899320127035e-15,180,4,8,0.933333333333331
grid,100,9181,optimal,0.156091085999833,31,31,30,31,0.9799999999999977,0.9799999999999995,-1.887379141862766e-15,-1.887379141862766e-15,-7.105427357601002e-15,1.4432899320127035e-15,180,4,8,0.933333333333331
grid,200,2026,optimal,0.7951812179999251,52,52,43,52,0.9311627906976788,0.9311627906976522,2.6645352591003757e-14,2.6645352591003757e-14,-1.5987211554602254e-14,-1.1934897514720433e-14,371,4,7,0.8139534883720948
grid,200,3407,optimal,0.8343169780000608,52,52,43,52,0.9311627906976788,0.9311627906976522,2.6645352591003757e-14,2.6645352591003757e-14,-1.5987211554602254e-14,-1.1934897514720433e-14,371,4,7,0.8139534883720948
grid,200,9181,optimal,0.8617149130000143,52,52,43,52,0.9311627906976788,0.9311627906976522,2.6645352591003757e-14,2.6645352591003757e-14,-1.5987211554602254e-14,-1.1934897514720433e-14,371,4,7,0.8139534883720948
grid,300,2026,optimal,0.4606785689998105,22,22,9,22,0.9842424242424251,0.9842424242424251,0.0,0.0,2.220446049250313e-16,1.4988010832439613e-15,565,4,8,0.8060606060606067
grid,300,3407,optimal,0.440389401000175,22,22,9,22,0.9842424242424251,0.9842424242424251,0.0,0.0,2.220446049250313e-16,1.4988010832439613e-15,565,4,8,0.8060606060606067
grid,300,9181,optimal,0.4558483559999331,22,22,9,22,0.9842424242424251,0.9842424242424251,0.0,0.0,2.220446049250313e-16,1.4988010832439613e-15,565,4,8,0.8060606060606067
grid,500,2026,optimal,2.392576575000021,40,40,41,40,1.1121495327103552,1.1121495327103195,3.574918139293004e-14,3.2144221924733253e-14,5.551115123125783e-14,5.268008251846368e-14,955,4,8,0.8242990654206204
grid,500,3407,optimal,2.333101759999863,40,40,41,40,1.1121495327103552,1.1121495327103195,3.574918139293004e-14,3.2144221924733253e-14,5.551115123125783e-14,5.268008251846368e-14,955,4,8,0.8242990654206204
grid,500,9181,optimal,2.581753153000136,40,40,41,40,1.1121495327103552,1.1121495327103195,3.574918139293004e-14,3.2144221924733253e-14,5.551115123125783e-14,5.268008251846368e-14,955,4,8,0.8242990654206204
heavy_hex,50,2026,optimal,0.020640578999973513,7,7,9,7,1.3999999999999981,1.3999999999999997,-1.5543122344752192e-15,-1.1102230246251581e-15,-2.220446049250313e-15,0.0,53,3,1,1.3999999999999981
heavy_hex,50,3407,optimal,0.014090758999827813,7,7,9,7,1.3999999999999981,1.3999999999999997,-1.5543122344752192e-15,-1.1102230246251581e-15,-2.220446049250313e-15,0.0,53,3,1,1.3999999999999981
heavy_hex,50,9181,optimal,0.03274738499976593,7,7,9,7,1.3999999999999981,1.3999999999999997,-1.5543122344752192e-15,-1.1102230246251581e-15,-2.220446049250313e-15,0.0,53,3,1,1.3999999999999981
